"Country.Code","Country.Rank","GDP.Millions.of.US.Dollars"
"ABW",161,2584
"ADO",NA,NA
"AFG",105,20497
"AGO",60,114147
"ALB",125,12648
"ARE",32,348595
"ARG",26,475502
"ARM",133,9951
"ASM",NA,NA
"ATG",172,1134
"AUS",12,1532408
"AUT",27,394708
"AZE",68,66605
"BDI",162,2472
"BEL",25,483262
"BEN",140,7557
"BFA",128,10441
"BGD",59,116355
"BGR",76,50972
"BHR",93,29044
"BHS",138,8149
"BIH",111,17466
"BLR",69,63267
"BLZ",169,1493
"BMU",149,5474
"BOL",96,27035
"BRA",7,2252664
"BRB",153,4225
"BRN",113,16954
"BTN",167,1780
"BWA",117,14504
"CAF",165,2184
"CAN",11,1821424
"CHE",20,631173
"CHI",NA,NA
"CHL",36,269869
"CHN",2,8227103
"CIV",99,24680
"CMR",98,25322
"COG",121,13678
"COL",30,369606
"COM",182,596
"CPV",166,1827
"CRI",81,45104
"CUB",67,68234
"CUW",NA,NA
"CYM",NA,NA
"CYP",102,22767
"CZE",51,196446
"DEU",4,3428131
"DJI",NA,NA
"DMA",183,480
"DNK",33,314887
"DOM",72,59047
"DZA",48,205789
"EAP",NA,10329684
"ECA",NA,1887950
"ECU",64,84040
"EGY",38,262832
"EMU",NA,12192344
"ERI",159,3092
"ESP",13,1322965
"EST",103,22390
"ETH",85,41605
"FIN",43,247546
"FJI",155,3908
"FRA",5,2612878
"FRO",NA,NA
"FSM",185,326
"GAB",109,18377
"GBR",6,2471784
"GEO",114,15747
"GHA",86,40711
"GIN",148,5632
"GMB",175,917
"GNB",176,822
"GNQ",110,17697
"GRC",42,249099
"GRD",178,767
"GRL",NA,NA
"GTM",77,50234
"GUM",NA,NA
"GUY",160,2851
"HIC",NA,49717634
"HKG",37,263259
"HND",108,18434
"HRV",71,59228
"HTI",139,7843
"HUN",58,124600
"IDN",16,878043
"IMY",NA,NA
"IND",10,1841710
"IRL",46,210771
"IRN",22,514060
"IRQ",47,210280
"ISL",122,13579
"ISR",40,258217
"ITA",9,2014670
"JAM",116,14755
"JOR",92,31015
"JPN",3,5959718
"KAZ",50,203521
"KEN",87,40697
"KGZ",145,6475
"KHM",120,14038
"KIR",189,175
"KNA",178,767
"KOR",15,1129598
"KSV",146,6445
"KWT",56,160913
"LAC",NA,5344028
"LAO",136,9418
"LBN",83,42945
"LBR",168,1734
"LBY",NA,NA
"LCA",171,1239
"LIC",NA,504431
"LIE",NA,NA
"LKA",70,59423
"LMC",NA,4823811
"LMY",NA,22769282
"LSO",163,2448
"LTU",84,42344
"LUX",74,55178
"LVA",94,28373
"MAC",82,43582
"MAF",NA,NA
"MAR",62,95982
"MCO",147,6075
"MDA",141,7253
"MDG",132,9975
"MDV",164,2222
"MEX",14,1178126
"MHL",188,182
"MIC",NA,22249909
"MKD",135,9613
"MLI",129,10308
"MLT",137,8722
"MMR",NA,NA
"MNA",NA,1540807
"MNE",151,4373
"MNG",130,10271
"MNP",NA,NA
"MOZ",118,14244
"MRT",154,4199
"MUS",127,10486
"MWI",152,4264
"MYS",34,305033
"NAM",123,13072
"NCL",NA,NA
"NER",144,6773
"NGA",39,262597
"NIC",126,10507
"NLD",18,770555
"NOR",23,499667
"NPL",107,18963
"NZL",55,167347
"OMN",66,69972
"PAK",44,225143
"PAN",89,36253
"PER",49,203790
"PHL",41,250182
"PLW",187,228
"PNG",115,15654
"POL",24,489795
"PRI",61,101496
"PRK",NA,NA
"PRT",45,212274
"PRY",97,25502
"PYF",NA,NA
"QAT",54,171476
"ROM",52,192711
"RUS",8,2014775
"RWA",142,7103
"SAS",NA,2286093
"SAU",19,711050
"SDN",73,58769
"SEN",119,14046
"SGP",35,274701
"SLB",174,1008
"SLE",157,3796
"SLV",100,23864
"SMR",NA,NA
"SOM",NA,NA
"SRB",88,37489
"SSA",NA,1289813
"SSD",131,10220
"STP",186,263
"SUR",150,5012
"SVK",63,91149
"SVN",80,45279
"SWE",21,523806
"SWZ",158,3744
"SXM",NA,NA
"SYC",173,1129
"SYR",65,73672
"TCA",NA,NA
"TCD",124,12887
"TGO",156,3814
"THA",31,365966
"TJK",143,6972
"TKM",91,35164
"TMP",170,1293
"TON",184,472
"TTO",101,23320
"TUN",79,45662
"TUR",17,789257
"TUV",190,40
"TZA",95,28242
"UGA",106,19881
"UKR",53,176309
"UMC",NA,17426690
"URY",78,49920
"USA",1,16244600
"UZB",75,51113
"VCT",180,713
"VEN",29,381286
"VIR",NA,NA
"VNM",57,155820
"VUT",177,787
"WBG",NA,NA
"WLD",NA,72440449
"WSM",181,684
"YEM",90,35646
"ZAF",28,384313
"ZAR",112,17204
"ZMB",104,20678
"ZWE",134,9802
